Genome Name / Sample Name	Strain	IMG Genome ID
Lysobacter sp. YR284	YR284	2615840641
Massilia sp. CF038	CF038	2690315615
Massilia sp. GV016	GV016	2738541300
Massilia sp. GV024	GV024	2757320414
Massilia sp. GV045	GV045	2738543018
Massilia sp. GV090	GV090	2738541280
Massilia sp. GV097	GV097	2738543030
Massilia sp. PDC64	PDC64	2684623005
Mesorhizobium sp. AP09	AP09	2758568520
Mesorhizobium sp. YR577	YR577	2687453760
Methylibium sp. CF059	CF059	2585428062
Methylibium sp. CF468	CF468	2585428058
Methylibium sp. YR605	YR605	2585428057
Methylobacterium sp. AP11	AP11	2609459615
Methylobacterium sp. BK227	BK227	2795386104
Methylobacterium sp. GV094	GV094	2738541281
Methylobacterium sp. GV104	GV104	2738543032
Methylobacterium sp. YR596	YR596	2615840644
Methylobacterium sp. YR668	YR668	2609459632
Microbacterium sp. BK664	BK664	2799112235
Microbacterium sp. BK668	BK668	2799112233
Microbacterium sp. CF046	CF046	2609459760
Microbacterium sp. CF332	CF332	2609459766
Microbacterium sp. CF335	CF335	2585428157
Microterricola sp. OV434	OV434	2758568040
Mitsuaria sp. PDC51	PDC51	2690315655
Mucilaginibacter sp. OK098	OK098	2609459642
Mucilaginibacter sp. OK268	OK268	2690315638
Mucilaginibacter sp. OK283	OK283	2684623006
Mucilaginibacter sp. OV119	OV119	2757320427
Mucilaginibacter sp. YR332	YR332	2616644844
Mycobacterium sp. BK086	BK086	2799112245
Mycobacterium sp. BK558	BK558	2799112228
Mycobacterium sp. OK887	OK887	2738541356
Mycobacterium sp. OK889	OK889	2738541264
Mycobacterium sp. YR708	YR708	2738541274
Mycobacterium sp. YR782	YR782	2738543028
Niastella sp. CF465	CF465	2738541278
Nocardioides sp. CF167	CF167	2738541305
Nocardioides sp. CF204	CF204	2739367862
Nocardioides sp. CF479	CF479	2739367898
Nocardioides sp. YR527	YR527	2684622998
Novosphingobium sp. AP12	AP12	2510917021
Novosphingobium sp. CF614	CF614	2687453689
Novosphingobium sp. GV002	GV002	2739367664
Novosphingobium sp. GV010	GV010	2757320443
Novosphingobium sp. GV011	GV011	2757320424
Novosphingobium sp. GV013	GV013	2739367865
Novosphingobium sp. GV022	GV022	2757320419
Novosphingobium sp. GV026	GV026	2757320425
Novosphingobium sp. GV027	GV027	2738541275
Novosphingobium sp. GV055	GV055	2738543022
Novosphingobium sp. GV057	GV057	2757320435
Novosphingobium sp. GV061	GV061	2738541304
Novosphingobium sp. GV064	GV064	2738543033
Novosphingobium sp. GV070	GV070	2757320420
Novosphingobium sp. GV076	GV076	2757320421
Novosphingobium sp. GV078	GV078	2757320426
Novosphingobium sp. GV079	GV079	2738541301
Paenibacillus chondroitinus OK414	OK414	2585428059
Paenibacillus sp. BC26	BC26	2690315656
Paenibacillus sp. BK033	BK033	2799112226
Paenibacillus sp. BK673	BK673	2795386125
Paenibacillus sp. BK736	BK736	2795386115
Paenibacillus sp. CF095	CF095	2690315662
Paenibacillus sp. CF384	CF384	2690315634
Paenibacillus sp. OK003	OK003	2687453683
Paenibacillus sp. OK060	OK060	2684623002
Paenibacillus sp. OK076	OK076	2690315677
Paenibacillus sp. OV031	OV031	2616644976
Paenibacillus sp. OV191	OV191	2757320429
Paenibacillus sp. OV219	OV219	2690315629
Paenibacillus sp. PDC88	PDC88	2693429827
Paenibacillus sp. YR247	YR247	2615840634
Paenisporosarcina sp. OV554	OV554	2738541299
Pantoea sp. BK028	BK028	2799112224
Pantoea sp. GM01	GM01	2511231035
Pantoea sp. OV426	OV426	2690315639
Pantoea sp. YR343	YR343	2511231025
Pantoea sp. YR512	YR512	2690315618
Pantoea sp. YR525	YR525	2690315619
Paraburkholderia sp. BT03	BT03	2711768613
Paraburkholderia sp. CF099	CF099	2711768633
Paraburkholderia sp. CF145	CF145	2713897432
Paraburkholderia sp. GV052	GV052	2738541306
Paraburkholderia sp. GV060	GV060	2738543008
Paraburkholderia sp. GV068	GV068	2738541298
Paraburkholderia sp. GV072	GV072	2738543002
Paraburkholderia sp. GV073	GV073	2738541296
Paraburkholderia sp. OK233	OK233	2711768632
Paraburkholderia sp. OK806	OK806	2711768653
Paraburkholderia sp. OV446	OV446	2757320428
Paraburkholderia sp. OV555	OV555	2757320521
Paraburkholderia sp. PDC91	PDC91	2757320513
Paraburkholderia sp. YR277	YR277	2711768617
Paraburkholderia sp. YR281	YR281	2615840636
Paraburkholderia sp. YR290	YR290	2711768647
Paraburkholderia sp. YR520	YR520	2615840633
Pedobacter sp. CF074	CF074	2738541302
Pedobacter sp. CF523	CF523	2739367656
Pedobacter sp. OK291	OK291	2739367651
Pedobacter sp. OK626	OK626	2609459674
Pedobacter sp. OK628	OK628	2738543023
Pedobacter sp. OK701	OK701	2738541283
Pedobacter sp. OV280	OV280	2757320436
Pedobacter sp. YR016	YR016	2738541284
Pedobacter sp. YR510	YR510	2739367663
Pelomonas sp. BT06	BT06	2738541337
Phyllobacterium sp. OV277	OV277	2687453676
